pmid,cited_pmid
MEDLINE:25988781,MEDLINE:16156221
MEDLINE:25988781,MEDLINE:9497119
MEDLINE:25988781,MEDLINE:14758559
MEDLINE:25988781,MEDLINE:12854744
MEDLINE:25988781,MEDLINE:11935238
MEDLINE:25988781,MEDLINE:12422042
MEDLINE:25988781,
MEDLINE:25988781,MEDLINE:9351993
MEDLINE:25988781,MEDLINE:10447603
MEDLINE:25988781,MEDLINE:11155058
MEDLINE:25988781,MEDLINE:1489756
MEDLINE:25988781,MEDLINE:4952349
MEDLINE:25988781,MEDLINE:11070430
MEDLINE:25988781,MEDLINE:10598708
MEDLINE:25988781,MEDLINE:8039938
MEDLINE:25988781,MEDLINE:3813463
MEDLINE:25988781,MEDLINE:8033170
MEDLINE:25988781,MEDLINE:6726390
MEDLINE:25988781,MEDLINE:9696082
MEDLINE:25988781,MEDLINE:10616079
MEDLINE:25988781,
MEDLINE:25988781,MEDLINE:8398847
MEDLINE:25988780,MEDLINE:25988778
MEDLINE:25988780,MEDLINE:25988777
MEDLINE:25988780,MEDLINE:22656255
MEDLINE:25988780,MEDLINE:22380962
MEDLINE:25988780,MEDLINE:21556955
MEDLINE:25988780,MEDLINE:21284473
MEDLINE:25988780,MEDLINE:20737274
MEDLINE:25988780,MEDLINE:20552204
MEDLINE:25988780,MEDLINE:21051921
MEDLINE:25988780,MEDLINE:20428876
MEDLINE:25988780,MEDLINE:20647973
MEDLINE:25988780,MEDLINE:20593981
MEDLINE:25988780,MEDLINE:19139908
MEDLINE:25988780,MEDLINE:17994241
MEDLINE:25988780,MEDLINE:17053941
MEDLINE:25988780,MEDLINE:17226034
MEDLINE:25988780,MEDLINE:10598700
MEDLINE:25988780,MEDLINE:12182437
MEDLINE:25988780,MEDLINE:11702869
MEDLINE:25988779,MEDLINE:22747090
MEDLINE:25988779,MEDLINE:20397892
MEDLINE:25988779,MEDLINE:20076987
MEDLINE:25988779,MEDLINE:19035692
MEDLINE:25988779,MEDLINE:19293174
MEDLINE:25988779,MEDLINE:18431216
MEDLINE:25988779,MEDLINE:17994241
MEDLINE:25988779,MEDLINE:18459905
MEDLINE:25988779,MEDLINE:15881749
MEDLINE:25988779,MEDLINE:12765808
MEDLINE:25988779,MEDLINE:12566842
MEDLINE:25988779,MEDLINE:12593612
MEDLINE:25988779,MEDLINE:11935240
MEDLINE:25988779,MEDLINE:8786486
MEDLINE:25988779,MEDLINE:7361261
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:25988777
MEDLINE:25988778,MEDLINE:25988780
MEDLINE:25988778,MEDLINE:22380952
MEDLINE:25988778,MEDLINE:22132920
MEDLINE:25988778,MEDLINE:22116446
MEDLINE:25988778,
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:21556955
MEDLINE:25988778,MEDLINE:21234576
MEDLINE:25988778,MEDLINE:20694557
MEDLINE:25988778,MEDLINE:20809705
MEDLINE:25988778,MEDLINE:20212401
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:20211949
MEDLINE:25988778,MEDLINE:19812582
MEDLINE:25988778,MEDLINE:19900052
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:19278306
MEDLINE:25988778,MEDLINE:19307746
MEDLINE:25988778,MEDLINE:546018
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:7367137
MEDLINE:25988778,MEDLINE:17943743
MEDLINE:25988778,MEDLINE:18343929
MEDLINE:25988778,MEDLINE:18390958
MEDLINE:25988778,MEDLINE:17226031
MEDLINE:25988778,MEDLINE:17403819
MEDLINE:25988778,MEDLINE:16754650
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:15133702
MEDLINE:25988778,
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:12867600
MEDLINE:25988778,MEDLINE:12776237
MEDLINE:25988778,MEDLINE:12763331
MEDLINE:25988778,MEDLINE:12784073
MEDLINE:25988778,MEDLINE:12671109
MEDLINE:25988778,MEDLINE:7389439
MEDLINE:25988778,MEDLINE:11952011
MEDLINE:25988778,MEDLINE:11219623
MEDLINE:25988778,MEDLINE:2430703
MEDLINE:25988778,MEDLINE:2422341
MEDLINE:25988778,MEDLINE:436563
MEDLINE:25988778,MEDLINE:11417413
MEDLINE:25988778,MEDLINE:11533324
MEDLINE:25988778,MEDLINE:9105740
MEDLINE:25988778,MEDLINE:3897499
MEDLINE:25988778,MEDLINE:8130137
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:9816635
MEDLINE:25988778,MEDLINE:9660271
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:9973678
MEDLINE:25988778,MEDLINE:1514432
MEDLINE:25988778,MEDLINE:1641110
MEDLINE:25988778,MEDLINE:3504286
MEDLINE:25988778,MEDLINE:6731380
MEDLINE:25988778,MEDLINE:7310499
MEDLINE:25988778,MEDLINE:9298272
MEDLINE:25988778,MEDLINE:10663817
MEDLINE:25988778,MEDLINE:3242799
MEDLINE:25988778,
MEDLINE:25988778,MEDLINE:3960289
MEDLINE:25988778,MEDLINE:8372708
MEDLINE:25988778,MEDLINE:106697
MEDLINE:25988778,MEDLINE:9485155
MEDLINE:25988778,MEDLINE:2210087
MEDLINE:25988778,MEDLINE:2926574
MEDLINE:25988778,MEDLINE:8795351
MEDLINE:25988778,MEDLINE:10392493
MEDLINE:25988778,MEDLINE:1536579
MEDLINE:25988778,MEDLINE:1394250
MEDLINE:25988778,MEDLINE:8453220
MEDLINE:25988778,MEDLINE:3373405
MEDLINE:25988778,MEDLINE:7621483
MEDLINE:25988778,MEDLINE:3193193
MEDLINE:25988778,MEDLINE:12908116
MEDLINE:25988778,MEDLINE:11168108
MEDLINE:25988778,MEDLINE:12296633
MEDLINE:25901057,
MEDLINE:25856777,
MEDLINE:25832968,
MEDLINE:25824498,
MEDLINE:25805375,
MEDLINE:25798805,
MEDLINE:25757133,
MEDLINE:25732279,
MEDLINE:25732278,
MEDLINE:25644617,
MEDLINE:25623643,
MEDLINE:25590212,
MEDLINE:25569493,
MEDLINE:25539215,
MEDLINE:25529153,
MEDLINE:25522203,
MEDLINE:25447850,
MEDLINE:25419853,
MEDLINE:25406796,
MEDLINE:25383671,
MEDLINE:25364887,
MEDLINE:25359357,
MEDLINE:25356808,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:24938537
MEDLINE:25349312,MEDLINE:24862623
MEDLINE:25349312,MEDLINE:24862342
MEDLINE:25349312,MEDLINE:24753521
MEDLINE:25349312,MEDLINE:24476955
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:24379232
MEDLINE:25349312,MEDLINE:24344108
MEDLINE:25349312,MEDLINE:24344111
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23900520
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:24127479
MEDLINE:25349312,MEDLINE:24101759
MEDLINE:25349312,MEDLINE:24035870
MEDLINE:25349312,MEDLINE:23694832
MEDLINE:25349312,MEDLINE:23502662
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23139089
MEDLINE:25349312,MEDLINE:23903677
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23867491
MEDLINE:25349312,MEDLINE:23733801
MEDLINE:25349312,MEDLINE:23758233
MEDLINE:25349312,MEDLINE:23757063
MEDLINE:25349312,MEDLINE:23261037
MEDLINE:25349312,MEDLINE:23494016
MEDLINE:25349312,MEDLINE:23479000
MEDLINE:25349312,MEDLINE:23460088
MEDLINE:25349312,MEDLINE:22949404
MEDLINE:25349312,MEDLINE:23471157
MEDLINE:25349312,MEDLINE:23478871
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23439909
MEDLINE:25349312,MEDLINE:23382446
MEDLINE:25349312,MEDLINE:23260101
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23311899
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:23015043
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:22748516
MEDLINE:25349312,MEDLINE:23114244
MEDLINE:25349312,MEDLINE:23114231
MEDLINE:25349312,MEDLINE:22869823
MEDLINE:25349312,MEDLINE:22566513
MEDLINE:25349312,MEDLINE:22473882
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:22802243
MEDLINE:25349312,MEDLINE:21388970
MEDLINE:25349312,MEDLINE:22527081
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:22157426
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:22331343
MEDLINE:25349312,MEDLINE:22270499
MEDLINE:25349312,MEDLINE:21927808
MEDLINE:25349312,MEDLINE:22018925
MEDLINE:25349312,MEDLINE:22100741
MEDLINE:25349312,MEDLINE:22201152
MEDLINE:25349312,MEDLINE:22080612
MEDLINE:25349312,MEDLINE:21969396
MEDLINE:25349312,MEDLINE:21628107
MEDLINE:25349312,MEDLINE:21746723
MEDLINE:25349312,MEDLINE:21811609
MEDLINE:25349312,MEDLINE:21678346
MEDLINE:25349312,MEDLINE:21352671
MEDLINE:25349312,MEDLINE:21661099
MEDLINE:25349312,MEDLINE:21471175
MEDLINE:25349312,MEDLINE:21411136
MEDLINE:25349312,MEDLINE:21369809
MEDLINE:25349312,MEDLINE:21300647
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:21219618
MEDLINE:25349312,MEDLINE:21226577
MEDLINE:25349312,MEDLINE:21226576
MEDLINE:25349312,MEDLINE:21249651
MEDLINE:25349312,MEDLINE:20927359
MEDLINE:25349312,MEDLINE:20713480
MEDLINE:25349312,MEDLINE:20624799
MEDLINE:25349312,MEDLINE:20228692
MEDLINE:25349312,MEDLINE:20305582
MEDLINE:25349312,MEDLINE:19674354
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:19838143
MEDLINE:25349312,MEDLINE:20032805
MEDLINE:25349312,MEDLINE:20113991
MEDLINE:25349312,MEDLINE:20100768
MEDLINE:25349312,MEDLINE:20036376
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:20014350
MEDLINE:25349312,MEDLINE:19419530
MEDLINE:25349312,MEDLINE:19647839
MEDLINE:25349312,MEDLINE:19841110
MEDLINE:25349312,MEDLINE:19467849
MEDLINE:25349312,MEDLINE:19445861
MEDLINE:25349312,MEDLINE:18843717
MEDLINE:25349312,MEDLINE:19439749
MEDLINE:25349312,MEDLINE:19160261
MEDLINE:25349312,MEDLINE:19085922
MEDLINE:25349312,MEDLINE:18927148
MEDLINE:25349312,MEDLINE:19439742
MEDLINE:25349312,MEDLINE:19196675
MEDLINE:25349312,MEDLINE:18838938
MEDLINE:25349312,MEDLINE:18370982
MEDLINE:25349312,MEDLINE:18071293
MEDLINE:25349312,MEDLINE:18310194
MEDLINE:25349312,MEDLINE:18245413
MEDLINE:25349312,MEDLINE:18275439
MEDLINE:25349312,MEDLINE:17901197
MEDLINE:25349312,MEDLINE:17640282
MEDLINE:25349312,MEDLINE:18330067
MEDLINE:25349312,MEDLINE:17961086
MEDLINE:25349312,MEDLINE:17599315
MEDLINE:25349312,MEDLINE:17545377
MEDLINE:25349312,MEDLINE:17652648
MEDLINE:25349312,MEDLINE:17382126
MEDLINE:25349312,MEDLINE:17414393
MEDLINE:25349312,MEDLINE:17329493
MEDLINE:25349312,MEDLINE:16997681
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:17052968
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:16537670
MEDLINE:25349312,MEDLINE:16510641
MEDLINE:25349312,MEDLINE:15965550
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:16140699
MEDLINE:25349312,MEDLINE:16188807
MEDLINE:25349312,MEDLINE:15723931
MEDLINE:25349312,MEDLINE:15629968
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:15014307
MEDLINE:25349312,MEDLINE:15491380
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:15239532
MEDLINE:25349312,MEDLINE:3575029
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:3850232
MEDLINE:25349312,MEDLINE:12897274
MEDLINE:25349312,MEDLINE:15173498
MEDLINE:25349312,MEDLINE:15184214
MEDLINE:25349312,MEDLINE:15184226
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:14757604
MEDLINE:25349312,MEDLINE:14688564
MEDLINE:25349312,MEDLINE:14571236
MEDLINE:25349312,MEDLINE:14557155
MEDLINE:25349312,MEDLINE:14551484
MEDLINE:25349312,MEDLINE:12671451
MEDLINE:25349312,MEDLINE:12882598
MEDLINE:25349312,MEDLINE:12756382
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:12840089
MEDLINE:25349312,MEDLINE:12598384
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:12411282
MEDLINE:25349312,MEDLINE:12509594
MEDLINE:25349312,MEDLINE:12475841
MEDLINE:25349312,MEDLINE:11862128
MEDLINE:25349312,MEDLINE:12047708
MEDLINE:25349312,MEDLINE:12360145
MEDLINE:25349312,MEDLINE:11929363
MEDLINE:25349312,MEDLINE:11815760
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:11983043
MEDLINE:25349312,MEDLINE:10461930
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:11719328
MEDLINE:25349312,MEDLINE:2123382
MEDLINE:25349312,MEDLINE:2179835
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:5323069
MEDLINE:25349312,MEDLINE:10585993
MEDLINE:25349312,MEDLINE:10469770
MEDLINE:25349312,MEDLINE:11076709
MEDLINE:25349312,MEDLINE:7259256
MEDLINE:25349312,MEDLINE:4382674
MEDLINE:25349312,MEDLINE:2959900
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:1558072
MEDLINE:25349312,MEDLINE:1872492
MEDLINE:25349312,MEDLINE:9535251
MEDLINE:25349312,MEDLINE:1731571
MEDLINE:25349312,MEDLINE:3295741
MEDLINE:25349312,MEDLINE:10632251
MEDLINE:25349312,MEDLINE:8904857
MEDLINE:25349312,MEDLINE:10987726
MEDLINE:25349312,MEDLINE:7365274
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:9888211
MEDLINE:25349312,MEDLINE:9450716
MEDLINE:25349312,MEDLINE:11035832
MEDLINE:25349312,MEDLINE:9521943
MEDLINE:25349312,MEDLINE:10999866
MEDLINE:25349312,MEDLINE:10196485
MEDLINE:25349312,MEDLINE:7844667
MEDLINE:25349312,MEDLINE:3907510
MEDLINE:25349312,MEDLINE:2257182
MEDLINE:25349312,MEDLINE:8866810
MEDLINE:25349312,MEDLINE:1994678
MEDLINE:25349312,MEDLINE:9061726
MEDLINE:25349312,MEDLINE:9240805
MEDLINE:25349312,MEDLINE:3397789
MEDLINE:25349312,MEDLINE:10093948
MEDLINE:25349312,MEDLINE:4355170
MEDLINE:25349312,MEDLINE:8726937
MEDLINE:25349312,MEDLINE:9412595
MEDLINE:25349312,MEDLINE:10103291
MEDLINE:25349312,MEDLINE:3724802
MEDLINE:25349312,MEDLINE:1994857
MEDLINE:25349312,MEDLINE:1517907
MEDLINE:25349312,MEDLINE:10969097
MEDLINE:25349312,MEDLINE:9404380
MEDLINE:25349312,
MEDLINE:25349312,MEDLINE:3399292
MEDLINE:25349312,MEDLINE:10547246
MEDLINE:25349312,MEDLINE:9482294
MEDLINE:25349312,MEDLINE:6391389
MEDLINE:25349312,
MEDLINE:25349003,
MEDLINE:25321320,
MEDLINE:25313375,
MEDLINE:25313375,
MEDLINE:25313375,MEDLINE:22275259
MEDLINE:25313375,MEDLINE:21629301
MEDLINE:25313375,MEDLINE:21676617
MEDLINE:25313375,MEDLINE:21388311
MEDLINE:25313375,MEDLINE:20696008
MEDLINE:25313375,MEDLINE:20633900
MEDLINE:25313375,MEDLINE:20605452
MEDLINE:25313375,MEDLINE:20345928
MEDLINE:25313375,MEDLINE:19767415
MEDLINE:25313375,MEDLINE:19687455
MEDLINE:25313375,MEDLINE:19171836
MEDLINE:25313375,MEDLINE:19181672
MEDLINE:25313375,MEDLINE:19085932
MEDLINE:25313375,MEDLINE:18274675
MEDLINE:25313375,MEDLINE:17439987
MEDLINE:25313375,MEDLINE:17923109
MEDLINE:25313375,MEDLINE:17720647
MEDLINE:25313375,MEDLINE:17878207
MEDLINE:25313375,MEDLINE:17418574
MEDLINE:25313375,MEDLINE:17221859
MEDLINE:25313375,MEDLINE:16806931
MEDLINE:25313375,MEDLINE:16865695
MEDLINE:25313375,
MEDLINE:25313375,
MEDLINE:25313375,MEDLINE:14991347
MEDLINE:25313375,MEDLINE:14678799
MEDLINE:25313375,MEDLINE:14678800
MEDLINE:25313375,MEDLINE:10466417
MEDLINE:25313375,MEDLINE:1673177
MEDLINE:25313375,MEDLINE:1842672
MEDLINE:25313375,MEDLINE:3275904
MEDLINE:25313375,MEDLINE:7719146
MEDLINE:25313375,MEDLINE:7580247
MEDLINE:25313375,MEDLINE:12609507
MEDLINE:25313375,MEDLINE:9697706
MEDLINE:25313375,MEDLINE:10717012
MEDLINE:25313375,MEDLINE:13190076
MEDLINE:25313375,MEDLINE:1745328
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:25279571
MEDLINE:25279570,MEDLINE:25279572
MEDLINE:25279570,MEDLINE:24061050
MEDLINE:25279570,MEDLINE:24367114
MEDLINE:25279570,MEDLINE:24260388
MEDLINE:25279570,MEDLINE:24034466
MEDLINE:25279570,MEDLINE:23783104
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:23283524
MEDLINE:25279570,MEDLINE:23127814
MEDLINE:25279570,MEDLINE:22106826
MEDLINE:25279570,MEDLINE:22767635
MEDLINE:25279570,MEDLINE:22723312
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:22257645
MEDLINE:25279570,MEDLINE:22199143
MEDLINE:25279570,MEDLINE:22339988
MEDLINE:25279570,MEDLINE:22307331
MEDLINE:25279570,MEDLINE:22252080
MEDLINE:25279570,MEDLINE:22162468
MEDLINE:25279570,MEDLINE:22172433
MEDLINE:25279570,MEDLINE:21930354
MEDLINE:25279570,MEDLINE:21771278
MEDLINE:25279570,MEDLINE:21729710
MEDLINE:25279570,MEDLINE:21521341
MEDLINE:25279570,MEDLINE:21606192
MEDLINE:25279570,MEDLINE:21525157
MEDLINE:25279570,MEDLINE:21178790
MEDLINE:25279570,MEDLINE:21330633
MEDLINE:25279570,MEDLINE:19428144
MEDLINE:25279570,MEDLINE:21385795
MEDLINE:25279570,MEDLINE:21143419
MEDLINE:25279570,MEDLINE:21208779
MEDLINE:25279570,MEDLINE:20816687
MEDLINE:25279570,MEDLINE:20667535
MEDLINE:25279570,MEDLINE:20826578
MEDLINE:25279570,MEDLINE:21112348
MEDLINE:25279570,MEDLINE:21087481
MEDLINE:25279570,MEDLINE:21070796
MEDLINE:25279570,MEDLINE:20739385
MEDLINE:25279570,MEDLINE:20926540
MEDLINE:25279570,MEDLINE:20888520
MEDLINE:25279570,MEDLINE:20729538
MEDLINE:25279570,MEDLINE:20539247
MEDLINE:25279570,MEDLINE:20555288
MEDLINE:25279570,MEDLINE:20863330
MEDLINE:25279570,MEDLINE:20566621
MEDLINE:25279570,MEDLINE:20683211
MEDLINE:25279570,MEDLINE:20302935
MEDLINE:25279570,MEDLINE:20470886
MEDLINE:25279570,MEDLINE:20346001
MEDLINE:25279570,MEDLINE:20489135
MEDLINE:25279570,MEDLINE:20427327
MEDLINE:25279570,MEDLINE:20141590
MEDLINE:25279570,MEDLINE:20164295
MEDLINE:25279570,MEDLINE:20102444
MEDLINE:25279570,MEDLINE:20166859
MEDLINE:25279570,MEDLINE:20086116
MEDLINE:25279570,MEDLINE:19934360
MEDLINE:25279570,MEDLINE:19784768
MEDLINE:25279570,MEDLINE:19777334
MEDLINE:25279570,MEDLINE:20394176
MEDLINE:25279570,MEDLINE:19620821
MEDLINE:25279570,MEDLINE:19569181
MEDLINE:25279570,MEDLINE:19850682
MEDLINE:25279570,MEDLINE:19846743
MEDLINE:25279570,MEDLINE:19773400
MEDLINE:25279570,MEDLINE:19657112
MEDLINE:25279570,MEDLINE:19453880
MEDLINE:25279570,MEDLINE:18421580
MEDLINE:25279570,MEDLINE:19225026
MEDLINE:25279570,MEDLINE:19470626
MEDLINE:25279570,MEDLINE:19410392
MEDLINE:25279570,MEDLINE:19427328
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:19321131
MEDLINE:25279570,MEDLINE:19428438
MEDLINE:25279570,MEDLINE:19158192
MEDLINE:25279570,MEDLINE:19321570
MEDLINE:25279570,MEDLINE:19139322
MEDLINE:25279570,MEDLINE:19104362
MEDLINE:25279570,MEDLINE:18812486
MEDLINE:25279570,MEDLINE:19117053
MEDLINE:25279570,MEDLINE:19124495
MEDLINE:25279570,MEDLINE:18801940
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:18987368
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:18030175
MEDLINE:25279570,MEDLINE:18482290
MEDLINE:25279570,MEDLINE:18625925
MEDLINE:25279570,MEDLINE:18346198
MEDLINE:25279570,MEDLINE:18426820
MEDLINE:25279570,MEDLINE:18084691
MEDLINE:25279570,MEDLINE:18182456
MEDLINE:25279570,MEDLINE:18413618
MEDLINE:25279570,MEDLINE:18073302
MEDLINE:25279570,MEDLINE:18171714
MEDLINE:25279570,MEDLINE:17267835
MEDLINE:25279570,MEDLINE:17519304
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:17610060
MEDLINE:25279570,MEDLINE:17433328
MEDLINE:25279570,MEDLINE:17346715
MEDLINE:25279570,MEDLINE:17535869
MEDLINE:25279570,MEDLINE:17224854
MEDLINE:25279570,MEDLINE:17314012
MEDLINE:25279570,MEDLINE:17476149
MEDLINE:25279570,MEDLINE:17284620
MEDLINE:25279570,MEDLINE:17172924
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:17018650
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:16793931
MEDLINE:25279570,MEDLINE:16735495
MEDLINE:25279570,MEDLINE:16864758
MEDLINE:25279570,MEDLINE:16390890
MEDLINE:25279570,MEDLINE:16478814
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:16645534
MEDLINE:25279570,MEDLINE:16522402
MEDLINE:25279570,MEDLINE:16278266
MEDLINE:25279570,MEDLINE:16418513
MEDLINE:25279570,MEDLINE:16264089
MEDLINE:25279570,MEDLINE:16373258
MEDLINE:25279570,MEDLINE:15615589
MEDLINE:25279570,MEDLINE:16259799
MEDLINE:25279570,MEDLINE:15998772
MEDLINE:25279570,MEDLINE:15613414
MEDLINE:25279570,MEDLINE:15613421
MEDLINE:25279570,MEDLINE:15670205
MEDLINE:25279570,MEDLINE:15601642
MEDLINE:25279570,MEDLINE:15356405
MEDLINE:25279570,MEDLINE:15126543
MEDLINE:25279570,MEDLINE:15111377
MEDLINE:25279570,MEDLINE:15041084
MEDLINE:25279570,MEDLINE:15019802
MEDLINE:25279570,MEDLINE:14575357
MEDLINE:25279570,MEDLINE:12747499
MEDLINE:25279570,MEDLINE:12807295
MEDLINE:25279570,MEDLINE:12567309
MEDLINE:25279570,
MEDLINE:25279570,MEDLINE:1251854
MEDLINE:25279570,MEDLINE:11932273
MEDLINE:25279570,MEDLINE:11971659
MEDLINE:25279570,MEDLINE:12414853
MEDLINE:25279570,MEDLINE:12218381
MEDLINE:25279570,MEDLINE:1951277
MEDLINE:25279570,MEDLINE:11306207
MEDLINE:25279570,MEDLINE:9028359
MEDLINE:25279570,MEDLINE:11157413
MEDLINE:25279570,MEDLINE:10372702
MEDLINE:25279570,MEDLINE:11600585
MEDLINE:25279570,MEDLINE:9802132
MEDLINE:25279570,MEDLINE:1579324
MEDLINE:25279570,MEDLINE:10993031
MEDLINE:25279570,MEDLINE:6277979
MEDLINE:25279570,MEDLINE:10690870
MEDLINE:25279570,MEDLINE:8977451
MEDLINE:25279570,MEDLINE:10946891
MEDLINE:25279570,MEDLINE:11127762
MEDLINE:25279570,MEDLINE:7608272
MEDLINE:25279570,MEDLINE:10840169
MEDLINE:25279570,MEDLINE:8541226
MEDLINE:25279570,MEDLINE:9543161
MEDLINE:25279570,MEDLINE:9876338
MEDLINE:25279570,MEDLINE:9637695
MEDLINE:25279570,MEDLINE:9253308
MEDLINE:25279570,MEDLINE:9660430
MEDLINE:25279570,MEDLINE:10760294
MEDLINE:25279570,MEDLINE:9709937
MEDLINE:25279570,MEDLINE:6084924
MEDLINE:25279570,MEDLINE:10717776
